player_id,player_name,position,team,status,height,weight,college,years_exp
8478,Samuel Womack,CB,NYJ,Active,70,189,Toledo,4.0
1408,Le'Veon Bell,RB,TB,Active,73,225,Michigan State,9.0
2091,Bashaud Breeland,CB,ARI,Active,71,197,Clemson,8.0
11533,Brandon Aubrey,K,DAL,Active,75,218,Notre Dame,3.0
2064,DeMarcus Lawrence,DE,SEA,Active,75,254,Boise State,12.0
8733,Jake Hummel,LB,BAL,Active,73,235,Iowa State,4.0
9487,Parker Washington,WR,JAX,Active,70,204,Penn State,3.0
6923,Geno Stone,DB,CIN,Active,71,210,Iowa,6.0
3268,Eric Murray,DB,JAX,Active,71,199,Minnesota,10.0
5668,Aaron Stinnie,G,NYG,Active,75,312,James Madison,8.0
12586,Cameron Williams,OL,PHI,Active,77,317,Texas,1.0
3356,Kyle Murphy,OT,NO,Active,78,305,Stanford,6.0
6786,CeeDee Lamb,WR,DAL,Active,74,200,Oklahoma,6.0
10938,DJ Johnson,LB,WAS,Active,76,260,Oregon,3.0
11584,Bucky Irving,RB,TB,Active,70,195,Oregon,2.0
7116,Kevin Dotson,OL,LAR,Active,76,328,Louisiana,6.0
6783,Jerry Jeudy,WR,CLE,Active,73,195,Alabama,6.0
12887,Joshua Gray,OL,CAR,Active,77,299,Oregon State,1.0
11770,JD Bertrand,LB,ATL,Active,73,230,Notre Dame,2.0
4992,Dante Pettis,WR,NO,Active,73,195,Washington,8.0
12739,Tommy Akingbesote,DT,BUF,Active,76,316,Maryland,1.0
439,JJ Jansen,LS,CAR,Active,74,235,Notre Dame,18.0
6858,James Lynch,DT,TEN,Active,76,295,Baylor,6.0
4925,Jordan Wade,G,OAK,Active,"6'3""",311,Oklahoma,1.0
12814,Josh Kaltenberger,OL,LAC,Active,78,308,Maryland,1.0
10926,Marte Mapu,DB,NE,Active,75,230,Sacramento State,3.0
9504,Kayshon Boutte,WR,NE,Active,71,197,LSU,3.0
12633,Wyatt Milum,OL,JAX,Active,78,317,West Virginia,1.0
12507,Omarion Hampton,RB,LAC,Active,72,220,North Carolina,1.0
11439,Jaleel McLaughlin,RB,DEN,Active,67,187,Youngstown State,3.0
7153,Kyle Hinton,G,ATL,Active,74,315,Washburn,6.0
2330,Shaq Thompson,LB,BUF,Active,72,230,Washington,11.0
11629,Devontez Walker,WR,BAL,Active,73,198,North Carolina,2.0
5031,Oren Burks,LB,CIN,Active,75,233,Vanderbilt,8.0
13024,Jay Higgins,LB,BAL,Active,72,230,Iowa,1.0
8361,Damarion Williams,DB,TB,Active,70,180,Houston,4.0
12493,Oronde Gadsden,TE,LAC,Active,77,236,Syracuse,1.0
11512,Tyrus Wheat,DE,DET,Active,74,263,Mississippi State,3.0
12699,LaJohntay Wester,WR,BAL,Active,69,170,Colorado,1.0
11044,Nick Broeker,OL,BUF,Active,76,305,Ole Miss,3.0
11122,Andrew Farmer,LB,SF,Active,76,250,Lane,3.0
7553,Kyle Pitts,TE,ATL,Active,78,250,Florida,5.0
4065,Derek Barnett,DE,HOU,Active,75,259,Tennessee,9.0
12694,RJ Mickens,DB,LAC,Active,72,210,Clemson,1.0
5845,Dwayne Haskins,QB,PIT,Active,76,230,Ohio State,3.0
11304,E.J. Jenkins,TE,PHI,Active,78,245,Georgia Tech,3.0
8502,Cade Mays,OL,CAR,Active,78,325,Tennessee,4.0
10940,Nick Herbig,LB,PIT,Active,74,240,Wisconsin,3.0
7970,Ar'Darius Washington,DB,BAL,Active,68,180,TCU,5.0
19,Joe Flacco,QB,CIN,Active,78,245,Delaware,18.0
7782,Isaiah McDuffie,LB,GB,Active,73,227,Boston College,5.0
10941,Tyler Lacy,DE,DET,Active,76,285,Oklahoma State,3.0
11756,Hunter Nourzad,OL,KC,Active,75,317,Penn State,2.0
10970,Henry To'oTo'o,LB,HOU,Active,74,228,Alabama,3.0
4054,Mo Alie-Cox,TE,IND,Active,77,267,VCU,9.0
11319,Truman Jones,DE,TEN,Active,75,255,Harvard,3.0
4969,Vita Vea,DT,TB,Active,76,347,Washington,8.0
7634,Jamin Davis,LB,LV,Active,76,234,Kentucky,5.0
12848,Josh Kelly,WR,HOU,Active,73,192,Texas Tech,1.0
6221,Justin Skule,OT,MIN,Active,78,315,Vanderbilt,7.0
8698,Jake Tonges,TE,SF,Active,76,240,California,4.0
11849,Karsen Barnhart,OL,GB,Active,76,306,Michigan,2.0
11709,Matt Goncalves,OL,IND,Active,78,317,Pittsburgh,2.0
8620,Segun Olubi,LB,IND,Active,73,233,San Diego State,4.0
2311,Leonard Williams,DE,SEA,Active,77,310,USC,11.0
6476,D'Angelo Ross,DB,CLE,Active,69,190,New Mexico,7.0
12971,Ke'Shawn Williams,WR,CIN,Active,69,189,Indiana,1.0
6016,Dax Raymond,TE,PIT,Active,76,245,Utah State,3.0
11744,Dadrion Taylor-Demerson,DB,ARI,Active,70,197,Texas Tech,2.0
11157,Brycen Tremayne,WR,CAR,Active,76,212,Stanford,3.0
5841,Ed Oliver,DT,BUF,Active,73,287,Houston,7.0
12571,Mike Green,DL,BAL,Active,75,250,Marshall,1.0
8116,Pierre Strong,RB,GB,Active,71,207,South Dakota State,4.0
525,Morgan Cox,LS,TEN,Active,76,233,Tennessee,16.0
7585,Davis Mills,QB,HOU,Active,76,225,Stanford,5.0
8025,Adam Prentice,FB,DEN,Active,72,245,South Carolina,5.0
2359,Ameer Abdullah,RB,IND,Active,69,203,Nebraska,11.0
5043,Nathan Shepherd,DT,NO,Active,76,315,Fort Hays State,8.0
5854,Drew Lock,QB,SEA,Active,76,228,Missouri,7.0
11855,Amari Gainer,LB,NE,Active,75,240,North Carolina,2.0
8391,Dominique Robinson,DL,CHI,Active,77,275,Miami (OH),4.0
13142,J.R. Singleton,DL,SEA,Active,73,299,Iowa State,1.0
12809,Mac Dalena,WR,NYJ,Active,70,176,Fresno State,1.0
11579,Audric Estime,RB,NO,Active,71,227,Notre Dame,2.0
12584,Darien Porter,DB,LV,Active,74,195,Iowa State,1.0
2267,Jimmie Ward,DB,HOU,Active,71,193,Northern Illinois,12.0
12742,Connor Colby,OL,SF,Active,77,309,Iowa,1.0
13089,Caleb Etienne,OL,MIN,Active,79,329,BYU,1.0
6125,Jeffery Simmons,DT,TEN,Active,76,305,Mississippi State,7.0
3294,Dak Prescott,QB,DAL,Active,74,238,Mississippi State,10.0
7770,Patrick Johnson,LB,NE,Active,74,248,Tulane,5.0
7120,Trevis Gipson,LB,CAR,Active,76,255,Tulsa,6.0
6880,Logan Wilson,LB,DAL,Active,74,245,Wyoming,6.0
8296,Kaiir Elam,DB,TEN,Active,73,202,Florida,4.0
8473,Eric Johnson,DT,IND,Active,76,320,Missouri State,4.0
421,Matthew Stafford,QB,LAR,Active,75,214,Georgia,17.0
8134,Khalil Shakir,WR,BUF,Active,72,190,Boise State,4.0
6555,AJ Cole,P,LV,Active,76,220,North Carolina State,7.0
7828,Noah Gray,TE,KC,Active,75,240,Duke,5.0
13262,Paschal Ekeji,DE,NYJ,Active,76,230,,0.0
11667,Dallas Turner,LB,MIN,Active,75,247,Alabama,2.0
12564,Kenneth Grant,DL,MIA,Active,75,335,Michigan,1.0
12579,Jordan Burch,DL,ARI,Active,76,280,Oregon,1.0
6841,Jordan Elliott,DT,SF,Active,76,303,Missouri,6.0
11557,Joe Milton,QB,DAL,Active,77,246,Tennessee,2.0
11764,Josh Newton,CB,CIN,Active,71,190,TCU,2.0
5895,Chris Lindstrom,G,ATL,Active,76,310,Boston College,7.0
10886,Peter Skoronski,OL,TEN,Active,76,313,Northwestern,3.0
12925,Jamaal Pritchett,WR,NYJ,Active,68,175,South Alabama,1.0
12517,Colston Loveland,TE,CHI,Active,78,241,Michigan,1.0
4053,Garett Bolles,OT,DEN,Active,77,300,Utah,9.0
6005,Kevin Givens,DT,SF,Active,73,285,Penn State,7.0
7722,Bobby Brown,DT,CAR,Active,76,332,Texas A&M,5.0
2167,Ricardo Allen,DB,CIN,Active,69,186,Purdue,8.0
8389,Akayleb Evans,DB,CAR,Active,74,198,Missouri,4.0
7974,Nick McCloud,CB,CHI,Active,73,191,Notre Dame,5.0
8138,James Cook,RB,BUF,Active,71,190,Georgia,4.0
11281,Liam Anderson,LB,CIN,Active,75,230,Holy Cross,3.0
6000,Ryan Bates,OL,CHI,Active,76,306,Penn State,7.0
12844,Ricky Barber,DT,WAS,Active,75,295,UCF,1.0
7262,Jalen Morton,QB,IND,Active,76,226,Prairie View,2.0
11345,Chris Smith,DL,DET,Active,73,316,Notre Dame,3.0
12937,Keith Cooper,DL,MIA,Active,77,280,Houston,1.0
12877,Brandon Johnson,DB,PHI,Active,70,185,Oregon,1.0
8119,Jahan Dotson,WR,PHI,Active,71,184,Penn State,4.0
11828,Marcus Harris,DL,KC,Active,75,295,Auburn,2.0
8375,Kalia Davis,DL,SF,Active,74,310,UCF,4.0
8511,Rasheed Walker,OL,GB,Active,78,324,Penn State,4.0
11819,Levi Drake Rodriguez,DT,MIN,Active,74,307,East Texas A&M,2.0
13137,Trace Ford,DL,NYG,Active,74,252,Oklahoma,1.0
4118,Alex Anzalone,LB,DET,Active,75,234,Florida,9.0
4106,Larry Ogunjobi,DT,BUF,Active,74,305,Charlotte,9.0
3589,Chris Milton,DB,MIA,Active,71,190,Georgia Tech,6.0
5876,Julian Love,DB,SEA,Active,71,195,Notre Dame,7.0
12542,Efton Chism,WR,NE,Active,70,198,Eastern Washington,1.0
3763,Woodrow Hamilton,DT,NYG,Active,75,315,Ole Miss,6.0
5893,C.J. Gardner-Johnson,DB,CHI,Active,71,210,Florida,7.0
4078,Adoree' Jackson,DB,PHI,Active,71,185,USC,9.0
8518,Thayer Munford,OL,NE,Active,78,331,Ohio State,4.0
7049,Jauan Jennings,WR,SF,Active,75,212,Tennessee,6.0
5466,John Franklin-Myers,DT,DEN,Active,76,288,Stephen F. Austin,8.0
8136,Rachaad White,RB,TB,Active,72,214,Arizona State,4.0
11610,Malik Washington,WR,MIA,Active,68,195,Virginia,2.0
11098,Caleb Murphy,DE,NYG,Active,75,254,Ferris State,3.0
8321,Tariq Castro-Fields,DB,PHI,Active,73,197,Penn State,4.0
7879,Tristen Hoge,G,DEN,Active,77,310,BYU,1.0
13195,Jahfari Harvey,DE,LV,Active,74,255,SMU,1.0
5792,Jeremy Reaves,DB,WAS,Active,71,200,South Alabama,8.0
8383,Cameron Thomas,DL,CLE,Active,76,265,San Diego State,4.0
4943,Sam Darnold,QB,SEA,Active,75,225,USC,8.0
10228,Charlie Jones,WR,CIN,Active,72,190,Purdue,3.0
12155,Nate Lynn,DL,TEN,Active,75,252,William & Mary,2.0
1900,Joel Bitonio,OG,CLE,Active,76,320,Nevada,12.0
12819,Kevin Knowles,DB,KC,Active,71,190,Florida State,1.0
3383,Riley Dixon,P,TB,Active,76,221,Syracuse,10.0
11598,Tanner McLachlan,TE,LAC,Active,77,245,Arizona,2.0
11436,PJ Mustipher,NT,ARI,Active,76,320,Penn State,3.0
829,Andy Dalton,QB,CAR,Active,74,220,TCU,15.0
10222,Jayden Reed,WR,GB,Active,71,187,Michigan State,3.0
11714,Jonah Elliss,DE,DEN,Active,74,246,Utah,2.0
7721,Chris Rumph,LB,NO,Active,74,244,Duke,5.0
6003,Anthony Nelson,LB,TB,Active,79,271,Iowa,7.0
11311,Jason Brownlee,WR,KC,Active,75,202,Southern Miss,3.0
10943,Isaiah McGuire,DL,CLE,Active,76,268,Missouri,3.0
12532,Ja'Corey Brooks,WR,WAS,Active,75,195,Louisville,1.0
10944,Tavius Robinson,DE,BAL,Active,78,262,Ole Miss,3.0
12703,Branson Taylor,OL,LAC,Active,78,330,Pittsburgh,1.0
5351,Da'Shawn Hand,DT,LAC,Active,75,302,Alabama,8.0
8481,Ja'Sir Taylor,DB,NYJ,Active,70,185,Wake Forest,4.0
11370,Chris Brooks,RB,GB,Active,73,219,BYU,3.0
1958,Xavier Su'a-Filo,G,CIN,Active,76,312,UCLA,8.0
12749,Luke Elkin,LS,CHI,Active,73,235,Iowa,1.0
4104,Taylor Moton,T,CAR,Active,77,325,Western Michigan,9.0
11574,Dylan Laube,RB,LV,Active,69,204,New Hampshire,2.0
6323,Andrew Beck,RB,NYJ,Active,75,255,Texas,7.0
6927,Quez Watkins,WR,PHI,Active,72,193,Southern Miss,6.0
12730,Micah Robinson,CB,TEN,Active,71,183,Tulane,1.0
8111,Cade Otton,TE,TB,Active,77,247,Washington,4.0
13073,Sebastian Valdez,DL,SF,Active,75,301,Washington,1.0
3269,Chris Moore,WR,WAS,Active,73,200,Cincinnati,10.0
12374,Brenden Bates,TE,CLE,Active,77,255,Kentucky,2.0
8468,Max Mitchell,T,NYJ,Active,78,307,Louisiana,4.0
4970,Quenton Nelson,OL,IND,Active,77,330,Notre Dame,8.0
11489,Kahlef Hailassie,CB,MIN,Active,73,195,Western Kentucky,3.0
12669,Collin Oliver,DE,GB,Active,74,240,Oklahoma State,1.0
8278,Christian Harris,LB,HOU,Active,74,232,Alabama,4.0
11647,Kimani Vidal,RB,LAC,Active,68,215,Troy,2.0
5737,Drew Scott,LS,KC,Active,73,209,Kansas State,4.0
7630,Greg Newsome,CB,JAX,Active,72,192,Northwestern,5.0
4967,Bradley Chubb,LB,MIA,Active,76,268,North Carolina State,8.0
8774,Alec Anderson,OL,BUF,Active,77,305,UCLA,4.0
7626,Odafe Oweh,LB,LAC,Active,77,251,Penn State,5.0
8528,Ryan Wright,P,MIN,Active,75,245,Tulane,4.0
7608,Khalil Herbert,RB,NYJ,Active,69,212,Virginia Tech,5.0
4227,Harrison Butker,K,KC,Active,76,205,Georgia Tech,9.0
8279,Perrion Winfrey,DL,DAL,Active,76,290,Oklahoma,4.0
4913,Aiulua Fanene,DT,GB,Active,"6'4""",280,Arizona,1.0
12593,Jack Sawyer,DL,PIT,Active,76,260,Ohio State,1.0
8460,Sean Rhyan,OL,GB,Active,77,321,UCLA,4.0
9488,Jaxon Smith-Njigba,WR,SEA,Active,72,197,Ohio State,3.0
9510,Lew Nichols,RB,PIT,Active,70,220,Central Michigan,3.0
